Uniprot ID,Biological Process (GO),Cellular Component (GO),Gene,Protein,Selected CC,Top Enriched BP
P04908,nucleosome assembly,nucleus,HIST1H2AB,Histone H2A type 1-B/E,nucleus,nucleosome assembly
P01781,complement activation;complement activation - classical pathway;Fc-epsilon receptor signaling pathway;Fc-gamma receptor signaling pathway involved in phagocytosis;immune response;innate immune response;regulation of immune response,extracellular;plasma membrane,P01781,Ig heavy chain V-III region GAL,extracellular,innate immune response
P07686,astrocyte cell migration;carbohydrate metabolic process;cell death;cellular calcium ion homeostasis;cellular protein metabolic process;chondroitin sulfate catabolic process;chondroitin sulfate metabolic process;ganglioside catabolic process;glycosaminoglycan metabolic process;glycosphingolipid metabolic process;hyaluronan catabolic process;hyaluronan metabolic process;keratan sulfate catabolic process;keratan sulfate metabolic process;lipid storage;locomotory behavior;lysosome organization;male courtship behavior;myelination;neuromuscular process controlling balance;oligosaccharide catabolic process;oogenesis;penetration of zona pellucida;phospholipid biosynthetic process;positive regulation of transcription from RNA polymerase II promoter;regulation of cell shape;sensory perception of sound;skeletal system development;small molecule metabolic process;sphingolipid metabolic process,lysosome,HEXB,Beta-hexosaminidase subunit beta,lysosome,small molecule metabolic process
Q13332,cell adhesion;cerebellum development;cerebral cortex development;corpus callosum development;extracellular matrix organization;hippocampus development;peptidyl-tyrosine dephosphorylation;spinal cord development,plasma membrane,PTPRS,Receptor-type tyrosine-protein phosphatase S,plasma membrane,extracellular matrix organization
P07108,hair follicle development;phosphatidylcholine acyl-chain remodeling;transport;triglyceride metabolic process,endoplasmic reticulum;golgi apparatus;mitochondrion,DBI,Acyl-CoA-binding protein,mitochondrion,triglyceride metabolic process
P80723,diaphragm development;glomerular visceral epithelial cell differentiation;gonad development;mesenchymal to epithelial transition;metanephric mesenchyme development;negative regulation of transcription - DNA-dependent;positive regulation of heart growth;positive regulation of metanephric ureteric bud development;substantia nigra development;thorax and anterior abdomen determination,cytoplasm;nucleus;plasma membrane,BASP1,Brain acid soluble protein 1,plasma membrane,substantia nigra development
Q6UX06,cell adhesion;negative regulation of I-kappaB kinase/NF-kappaB cascade;negative regulation of immune response;positive regulation of substrate adhesion-dependent cell spreading;protein homooligomerization,extracellular;mitochondrion;cytoplasm;plasma membrane,OLFM4,Olfactomedin-4,extracellular,cell adhesion
P49770,cellular protein metabolic process;cellular response to stimulus;central nervous system development;gene expression;myelination;oligodendrocyte development;ovarian follicle development;positive regulation of GTPase activity;regulation of translational initiation;response to glucose stimulus;response to heat;response to peptide hormone stimulus;translation;translational initiation,cytoplasm;cytosol,EIF2B2,Translation initiation factor eIF-2B subunit beta,cytosol,cellular protein metabolic process
P11234,apoptotic process;cytokinesis;neurotrophin TRK receptor signaling pathway;Ras protein signal transduction;regulation of exocyst assembly;regulation of exocyst localization;signal transduction,plasma membrane,RALB,Ras-related protein Ral-B,plasma membrane,signal transduction
Q86YZ3,establishment of skin barrier;keratinization,cytoplasm;nucleus,HRNR,Hornerin,cytoplasm,keratinization
P34913,arachidonic acid metabolic process;cellular calcium ion homeostasis;cholesterol homeostasis;dephosphorylation;drug metabolic process;epoxygenase P450 pathway;inflammatory response;phospholipid dephosphorylation;positive regulation of gene expression;positive regulation of vasodilation;reactive oxygen species metabolic process;regulation of blood pressure;regulation of cholesterol metabolic process;response to toxic substance;small molecule metabolic process;stilbene catabolic process;xenobiotic metabolic process,cytosol;peroxisome,EPHX2,Bifunctional epoxide hydrolase 2,peroxisome,small molecule metabolic process
Q96S96,NOTDEFINED,lysosome,PEBP4,Phosphatidylethanolamine-binding protein 4,lysosome,
Q8N257,chromatin organization;nucleosome assembly,nucleus,HIST3H2BB,Histone H2B type 3-B,nucleus,nucleosome assembly
P00736,complement activation;complement activation - classical pathway;immune response;innate immune response,extracellular,C1R,Complement C1r subcomponent,extracellular,innate immune response
Q01518,actin cytoskeleton organization;activation of adenylate cyclase activity;ameboidal cell migration;axon guidance;blood coagulation;establishment or maintenance of cell polarity;platelet activation;platelet degranulation;receptor-mediated endocytosis;signal transduction,cytoplasm;plasma membrane,CAP1,Adenylyl cyclase-associated protein 1,plasma membrane,blood coagulation
Q8IVF2,NOTDEFINED,cytoplasm;nucleus;plasma membrane,AHNAK2,Protein AHNAK2,plasma membrane,
P11684,embryo implantation;female pregnancy;negative regulation of interferon-gamma production;negative regulation of interleukin-13 production;negative regulation of interleukin-4 production;negative regulation of interleukin-5 production;negative regulation of T cell proliferation;negative regulation of transcription from RNA polymerase II promoter;regulation of inflammatory response;regulation of mRNA stability;response to cytokine stimulus;response to drug;response to fibroblast growth factor stimulus;response to glucocorticoid stimulus;response to lipopolysaccharide;response to ozone;response to silicon dioxide;response to xenobiotic stimulus;signal transduction,extracellular;nucleus;endoplasmic reticulum,SCGB1A1,Uteroglobin,extracellular,signal transduction
P61204,GTP catabolic process;phosphatidylinositol biosynthetic process;phospholipid metabolic process;protein transport;small GTPase mediated signal transduction;small molecule metabolic process;vesicle-mediated transport,golgi apparatus;cytoplasm,ARF3,ADP-ribosylation factor 3,golgi apparatus,small molecule metabolic process
P25311,antigen processing and presentation of peptide antigen via MHC class I;cell adhesion;detection of chemical stimulus involved in sensory perception of bitter taste;immune response;negative regulation of cell proliferation;positive regulation of T cell mediated cytotoxicity;protein transmembrane transport;retina homeostasis;RNA phosphodiester bond hydrolysis,extracellular;plasma membrane;nucleus,AZGP1,Zinc-alpha-2-glycoprotein,extracellular,retina homeostasis
P61019,ER to Golgi vesicle-mediated transport;GTP catabolic process;mitotic cell cycle;protein transport;small GTPase mediated signal transduction,endoplasmic reticulum;cytoplasm;golgi apparatus;lysosome;nucleus,RAB2A,Ras-related protein Rab-2A,endoplasmic reticulum,mitotic cell cycle
Q15582,angiogenesis;cell adhesion;cell proliferation;chondrocyte differentiation;extracellular matrix organization;negative regulation of cell adhesion;response to stimulus;visual perception,extracellular;plasma membrane,TGFBI,Transforming growth factor-beta-induced protein ig-h3,extracellular,extracellular matrix organization
Q04609,folic acid-containing compound metabolic process;proteolysis,cytoplasm;plasma membrane,FOLH1,Glutamate carboxypeptidase 2,plasma membrane,proteolysis
Q8NBJ4,nucleus organization;regulation of lipid metabolic process,extracellular;golgi apparatus;plasma membrane,GOLM1,Golgi membrane protein 1,extracellular,regulation of lipid metabolic process
P36222,activation of NF-kappaB-inducing kinase activity;apoptotic process;carbohydrate metabolic process;cartilage development;cellular response to tumor necrosis factor;chitin catabolic process;inflammatory response;interleukin-8 secretion;lung development;positive regulation of angiogenesis;positive regulation of ERK1 and ERK2 cascade;positive regulation of peptidyl-threonine phosphorylation;positive regulation of protein kinase B signaling cascade;response to interleukin-1;response to interleukin-6;response to mechanical stimulus;response to tumor necrosis factor,cytoplasm;endoplasmic reticulum;extracellular,CHI3L1,Chitinase-3-like protein 1,extracellular,apoptotic process
P15907,cellular protein metabolic process;humoral immune response;N-acetylneuraminate metabolic process;O-glycan processing;post-translational protein modification;protein N-linked glycosylation via asparagine,golgi apparatus,ST6GAL1,Beta-galactoside alpha-2 -6-sialyltransferase 1,golgi apparatus,cellular protein metabolic process
P02765,acute-phase response;negative regulation of bone mineralization;negative regulation of insulin receptor signaling pathway;negative regulation of phosphorylation;ossification;pinocytosis;positive regulation of phagocytosis;regulation of bone mineralization;regulation of inflammatory response;skeletal system development,extracellular,AHSG,Alpha-2-HS-glycoprotein,extracellular,acute-phase response
P20160,cellular extravasation;defense response to Gram-negative bacterium;glial cell migration;induction of positive chemotaxis;inflammatory response;macrophage chemotaxis;microglial cell activation;monocyte activation;negative regulation of apoptotic process;positive regulation of cell adhesion;positive regulation of fractalkine biosynthetic process;positive regulation of interleukin-1 beta biosynthetic process;positive regulation of MHC class II biosynthetic process;positive regulation of phagocytosis;positive regulation of tumor necrosis factor biosynthetic process;protein kinase C-activating G-protein coupled receptor signaling pathway;regulation of vascular permeability,lysosome;extracellular,AZU1,Azurocidin,extracellular,negative regulation of apoptotic process
